title,firstName,lastName,email,assignee,leadStatus,leadSource,leadRating,phone,companyName,industry,adressLine1,adressLine2,city,state,country,zipcode
Mr.,Harry,Peter,luxami24@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Harry,Peter,harry144@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Anshu,Peter,harry154@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Miss.,Reshma,Peter,harry164@gmail.com,Priya,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Shekhar,Peter,harry174@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Miss.,Harry,Peter,harry184@gmail.com,Renu,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Shyam,Peter,harry194@gmail.com,Rita,yes,unknown,5,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Arnu,Yadav,luxami204@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Arif,Mohammad,luxami214@gmail.com,Raunak,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Miss.,Harry,Peter,luxami654@gmail.com,Priyank,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Miss.,Parvati,Peter,luxami624@gmail.com,Amit,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Miss.,Harry,Peter,luxami644@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Allu,Arjun,harry634@gmail.com,Peter,yes,unknown,5,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
