title,firstName,lastName,email,assignee,leadStatus,leadSource,leadRating,phone,companyName,industry,adressLine1,adressLine2,city,state,country,zipcode
Mr.,Harry,Peter,luxami2@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Harry,Peter,harry14@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Anshu,Peter,harry15@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Miss.,Reshma,Peter,harry16@gmail.com,Priya,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Shekhar,Peter,harry17@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Miss.,Harry,Peter,harry18@gmail.com,Renu,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Shyam,Peter,harry19@gmail.com,Rita,yes,unknown,5,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Arnu,Yadav,luxami20@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Arif,Mohammad,luxami21@gmail.com,Raunak,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Miss.,Harry,Peter,luxami22@gmail.com,Priyank,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Miss.,Parvati,Peter,luxami62@gmail.com,Amit,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Miss.,Harry,Peter,luxami61@gmail.com,Rita,yes,unknown,3,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
Mr.,Allu,Arjun,harry60@gmail.com,Peter,yes,unknown,5,1234567890,Satisfic,IT,11 NP kHYALIWALA,string,Ramnagar,Uttarakhand,India,455643
